School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed
Kansas ,0.722,18.35,12.79,0.666666667,70.3,106.5,0.325,0.349,0.555,52.1,48.3,9.5,10.9,0.526,16.1,29.9,0.229,4
Northeastern ,0.676,3.95,-0.7,0.777777778,66.3,111.7,0.343,0.464,0.597,49.7,54.5,9.2,6,0.565,15.1,22.5,0.258,13
Iowa State ,0.657,18.07,9.3,0.5,68.2,112.7,0.3,0.396,0.575,50.3,54.1,10.3,12.5,0.548,13.9,28.4,0.22,6
Ohio State ,0.571,13.89,11,0.4,66.7,103.2,0.337,0.401,0.54,50.9,58.9,8.8,7,0.503,16.4,27.6,0.247,11
Houston ,0.892,18.91,4.61,0.888888889,67.3,111.8,0.316,0.426,0.55,54.9,55.6,9.6,13.4,0.521,13.9,33.8,0.222,3
Georgia State ,0.706,2.44,0.65,0.722222222,71.3,107.1,0.353,0.436,0.565,45.4,46,11.1,14,0.543,14.5,23.1,0.235,14
Wofford ,0.857,13.92,0.8,1,68.5,119.2,0.271,0.436,0.598,54.5,50.6,9.6,9.1,0.58,13.5,32.5,0.19,7
Seton Hall ,0.588,10.25,8.34,0.5,70.1,104.1,0.345,0.367,0.533,50,51.7,9.8,11.2,0.499,15.2,29.6,0.243,10
Kentucky ,0.811,21.43,10.29,0.833333333,67.3,111.9,0.419,0.296,0.571,56.9,51.2,8.8,13.4,0.53,15.9,36.4,0.31,2
Abilene Christian ,0.794,-1.91,-7.34,0.777777778,67.2,108.6,0.336,0.345,0.565,50.3,58.5,12.9,8,0.535,15.5,28.8,0.239,15
